symbol,n_tree,point_ic_tree,ci_lower_tree,ci_upper_tree,passes_tree,p_value_tree,p_value_fdr_tree,passes_fdr_significant_tree,passes_fdr_tree,n_linear,point_ic_linear,ci_lower_linear,ci_upper_linear,passes_linear,p_value_linear,p_value_fdr_linear,passes_fdr_significant_linear,passes_fdr_linear,n_baseline,point_ic_baseline,ci_lower_baseline,ci_upper_baseline,passes_baseline,p_value_baseline,p_value_fdr_baseline,passes_fdr_significant_baseline,passes_fdr_baseline
AGG,105173,0.05274476962653415,0.04667957256082166,0.05876731630550132,True,0.0,0.0,True,True,105173,0.01512500048917717,0.00987991488580563,0.021143165080245833,True,9.327588026408762e-07,2.984828168450804e-06,True,True,105173,-0.0058958499116588655,-0.011474745850767814,2.6605657942366696e-05,False,0.05587095677254972,0.121604011347383,False,False
AMLP,99205,0.07372282933159714,0.06711362884375091,0.08075105788436789,True,0.0,0.0,True,True,99205,0.02591976203340062,0.019749319937070717,0.03245872609384185,True,2.220446049250313e-16,2.5376526277146436e-15,True,True,99205,0.00491030965777374,-0.0015572107613383464,0.011053165129490573,False,0.12196419680113912,0.2032736613352319,False,False
ARKK,57778,0.02671216139167124,0.018222419699865402,0.035469572274670944,True,1.3465117909561286e-10,2.9113768453105484e-10,True,True,57778,0.004764991421377906,-0.003835280692917567,0.013254051051987252,False,0.2520661405073883,0.2936962156670735,False,False,57778,0.0034557353266152333,-0.0052374010744867285,0.012061683657000246,False,0.4061761828760737,0.5216195538133978,False,False
BIL,104274,0.43452545966516315,0.42676126197457764,0.44245825289546675,True,0.0,0.0,True,True,104274,0.09531496895012392,0.08496641646851923,0.10531040615510308,True,0.0,0.0,True,True,104274,-2.3378347830520096e-05,-0.005945418324137408,0.006486792550060271,False,0.9939767267869395,0.9939767267869395,False,False
BTAL,46660,0.14272824201376777,0.13304339211720662,0.15396031890321873,True,0.0,0.0,True,True,46660,0.03721388103528644,0.029581269187245643,0.04483866496905439,True,8.881784197001252e-16,8.881784197001252e-15,True,True,46660,0.0012340750990730601,-0.007481614650271534,0.010181095648927191,False,0.7898044086918665,0.853842603991207,False,False
CIBR,65346,0.07860892873997308,0.07037380658062417,0.08788443334972018,True,0.0,0.0,True,True,65346,0.015473675513229807,0.007936825727923693,0.022348380055909545,True,7.63186293182283e-05,0.00017444258129880756,True,True,65346,0.006858257414067948,-0.0009284358427438961,0.014034973758713844,False,0.07957556393577381,0.15157250273480724,False,False
CWB,104342,0.10619576271708327,0.09949546993454,0.11276622696720127,True,0.0,0.0,True,True,104342,0.04633864652099536,0.0406237369221956,0.05239450557098205,True,0.0,0.0,True,True,104342,-0.0069207818982517325,-0.012791141883537372,-0.0009396253016537873,False,0.02538114428965632,0.0780958285835579,False,False
DBA,104964,0.047432763566230815,0.04176160291204813,0.0537417759138402,True,0.0,0.0,True,True,104964,0.02132117424653743,0.015176119557046282,0.027811513571772233,True,4.902522832139766e-12,3.5654711506471024e-11,True,True,104964,0.003660728851668095,-0.0022884841150237444,0.009812151773294782,False,0.2356230087685942,0.3366042982408489,False,False
DBB,94656,0.08448782615667372,0.07754593963559386,0.09026138758750415,True,0.0,0.0,True,True,94656,0.01026361076583257,0.005016017122958077,0.016539610432036018,True,0.001589830946744586,0.0028263661275459307,True,True,94656,-0.0012717762773429158,-0.007570571473409833,0.004633735054866417,False,0.6955958843513665,0.7949667249729904,False,False
DBC,105166,0.03975088193774691,0.03308541219284629,0.04635334731569589,True,0.0,0.0,True,True,105166,0.016415317483403656,0.010245567044485433,0.02245236931329719,True,1.0169476594157345e-07,3.8740863215837506e-07,True,True,105166,-0.010217030311184904,-0.01596043910485803,-0.004102703962305073,False,0.000921824780679481,0.006704180223123498,True,False
DIA,103610,0.0008812481284226285,-0.005859809185652404,0.007602812674144159,False,0.7766730585568224,0.7766730585568224,False,False,103610,0.004103467651439363,-0.002383602262987762,0.010585567994595198,False,0.18655651748292001,0.22612911210050912,False,False,103610,-0.009809232598047639,-0.016191920285689502,-0.0035819928389800894,False,0.0015913729119263476,0.010435492338741663,True,False
EDV,93017,0.050251397600943874,0.0422482708200152,0.05764721463556421,True,0.0,0.0,True,True,93017,0.013260450268201907,0.007313850424710255,0.019897899662773465,True,5.246023168070657e-05,0.00012343583924872135,True,True,93017,0.002392297766637365,-0.0036990740515667198,0.008528834766732126,False,0.465628190502819,0.5580875614600121,False,False
EEM,105174,0.0181031965505315,0.011824715132942632,0.02581163948668909,True,4.321929925055201e-09,8.643859850110402e-09,True,True,105174,0.00879837627984649,0.0029539763163885587,0.014822521527441235,True,0.004325654149755831,0.006731951489390174,True,True,105174,0.004842010041833863,-0.0020468641868418027,0.01017511739338022,False,0.11634984535077963,0.19949396221430912,False,False
EFA,105174,0.01023594911816163,0.0038111719058057224,0.01702232653576889,True,0.0009013966918129945,0.0011267458647662432,True,True,105174,0.01816579674494943,0.012124729526757121,0.024287782880684772,True,3.8228367138515296e-09,1.7989819829889552e-08,True,True,105174,-0.005543730058534775,-0.011825256840884408,8.34757146238839e-07,False,0.07220013084319565,0.1444002616863913,False,False
EMB,105132,0.07033068236337696,0.06398895286953557,0.07808921917310628,True,0.0,0.0,True,True,105132,0.04098606083962984,0.033773701062329936,0.046983364508363656,True,0.0,0.0,True,True,105132,0.01928577395352073,0.01271383564055945,0.024520153734632795,True,4.0074010776436353e-10,8.01480215528727e-09,True,True
EWG,105170,0.02474491729490188,0.018022508826638445,0.030557255219418232,True,1.1102230246251565e-15,2.7755575615628914e-15,True,True,105170,0.018456445108081667,0.013013868132531178,0.023645537587558916,True,2.1526285198802952e-09,1.1480685439361574e-08,True,True,105170,-0.021446194776951914,-0.02712427691707366,-0.01578076695756197,False,3.5080827132105696e-12,9.354887235228186e-11,True,False
EWJ,105173,0.06894401398001493,0.0619646080641307,0.07531397104630398,True,0.0,0.0,True,True,105173,0.01733690570057726,0.011628500730798982,0.023034393769442402,True,1.8790719868988504e-08,7.516287947595401e-08,True,True,105173,-0.009370905569653273,-0.01630569608775702,-0.003420191271084735,False,0.002373242489472238,0.01265729327718527,True,False
EWT,105174,0.03668954558634658,0.030610269421652923,0.043376909016758496,True,0.0,0.0,True,True,105174,0.010945964390144041,0.004930888259438534,0.016962142468033063,True,0.0003853780479590174,0.0007707560959180348,True,True,105174,-0.0006880881267757874,-0.007058890999824165,0.004937758019835906,False,0.8234202612087669,0.8783149452893514,False,False
EWY,105174,0.006128853388945124,0.00029997002752489213,0.01331263491302193,True,0.0468542458704706,0.05065323877888713,False,False,105174,0.002346136703176471,-0.003384170339231135,0.00861396552347509,False,0.44674258403243483,0.48296495571074033,False,False,105174,0.00918787035041873,0.0025310264540383057,0.015147263937839113,True,0.0028852746557685993,0.014426373278842997,True,True
EWZ,105174,0.00885115941948466,0.0024820942907016644,0.01562576929193728,True,0.004098218940939091,0.004967538110229202,True,True,105174,0.00886602482860628,0.0031461337702542993,0.01558849372811701,True,0.004036154399280623,0.006522828091947375,True,True,105174,-0.007291872684129537,-0.013218933999037884,-0.0014139324469048295,False,0.018039951208758565,0.06559982257730386,False,False
EZU,104871,0.013631433326166462,0.007198051360547965,0.020364431327314497,True,1.012308408587792e-05,1.5879347585690856e-05,True,True,104871,0.017536906871760093,0.011640654638231692,0.023812198916070174,True,1.3510128571425639e-08,5.688475187968691e-08,True,True,104871,-0.014338779920771122,-0.020295818264478318,-0.0077467739708552774,False,3.4235027943640972e-06,5.4776044709825555e-05,True,False
FXA,70191,0.011384189609314534,0.004244736678255647,0.01835389644507474,True,0.0025602864801987923,0.003151121821783129,True,True,70191,-0.0030319446857084422,-0.01064520587222723,0.0032656336890554373,False,0.42182542193514583,0.4686949132612731,False,False,70191,-0.003785129235921591,-0.010219132309902056,0.00273172499722368,False,0.3159563402152328,0.42127512028697706,False,False
