symbol,n_tree,point_ic_tree,ci_lower_tree,ci_upper_tree,passes_tree,p_value_tree,p_value_fdr_tree,passes_fdr_significant_tree,passes_fdr_tree,n_linear,point_ic_linear,ci_lower_linear,ci_upper_linear,passes_linear,p_value_linear,p_value_fdr_linear,passes_fdr_significant_linear,passes_fdr_linear,n_baseline,point_ic_baseline,ci_lower_baseline,ci_upper_baseline,passes_baseline,p_value_baseline,p_value_fdr_baseline,passes_fdr_significant_baseline,passes_fdr_baseline
AGG,105173,0.2588042349702138,0.25290887603820505,0.26550248041646296,True,0.0,0.0,True,True,105173,0.032197113464399504,0.02688481837816143,0.037511392151140285,True,0.0,0.0,True,True,105173,0.05728655465442117,0.05187354288161107,0.062298338481110535,True,0.0,0.0,True,True
AMLP,99205,0.28530468483744154,0.27811783567026366,0.29166948632420625,True,0.0,0.0,True,True,99205,0.045796923809308734,0.03979366074788274,0.05212533114322549,True,0.0,0.0,True,True,99205,0.07308869712232897,0.0671118605878092,0.07979946781534385,True,0.0,0.0,True,True
ARKK,57778,0.25441042783020545,0.24519012041136007,0.2636239968878294,True,0.0,0.0,True,True,57778,0.030213843440623642,0.021910203731523272,0.03810241476327204,True,3.7569947153315297e-13,4.553932988280642e-13,True,True,57778,0.07630087535872498,0.06869966521781194,0.08418265475956734,True,0.0,0.0,True,True
BIL,104274,0.1172278816623242,0.10907898489860467,0.12465270865019336,True,0.0,0.0,True,True,104274,0.04150157949081947,0.029439321680264186,0.05293453898856336,True,0.0,0.0,True,True,104274,-0.12777679131217914,-0.1360634656502324,-0.11846519442405952,False,0.0,0.0,True,False
BTAL,46660,0.1834377068590097,0.17492655193436693,0.19302546469918544,True,0.0,0.0,True,True,46660,0.04703838822814551,0.039638205177019326,0.05502247652457547,True,0.0,0.0,True,True,46660,0.044386292472967284,0.03676384520057216,0.05153705785729534,True,0.0,0.0,True,True
CIBR,65346,0.2574997463463792,0.24947485673776448,0.2657159207063431,True,0.0,0.0,True,True,65346,0.03672172465640523,0.029090021791622893,0.04423051868902252,True,0.0,0.0,True,True,65346,0.06721494630616659,0.05962579607466237,0.07392266476317365,True,0.0,0.0,True,True
CWB,104342,0.26645170400489415,0.26052342074310486,0.27263909671789527,True,0.0,0.0,True,True,104342,0.06277592419897499,0.057260597471377385,0.06830543016726769,True,0.0,0.0,True,True,104342,0.0740646976174746,0.06862599251108827,0.0794802163417148,True,0.0,0.0,True,True
DBA,104964,0.24418772885787476,0.2382200045954138,0.25038040416380086,True,0.0,0.0,True,True,104964,0.03999269302527839,0.033842212462574676,0.04623108588147411,True,0.0,0.0,True,True,104964,0.07121350418661336,0.06538034052207137,0.07702423508514941,True,0.0,0.0,True,True
DBB,94656,0.17156912362717794,0.16543269563293897,0.17762808939616662,True,0.0,0.0,True,True,94656,0.01891277276001361,0.013797043628251396,0.02461226422493283,True,5.913420864089858e-09,6.392887420637683e-09,True,True,94656,0.030863453080056554,0.025620855780023412,0.036126730270017414,True,0.0,0.0,True,True
DBC,105166,0.265542959654,0.2592953573826967,0.2719270612204567,True,0.0,0.0,True,True,105166,0.03492497661075971,0.02852475750886064,0.0410149578979505,True,0.0,0.0,True,True,105166,0.0665026983006656,0.06014419628260268,0.07231870722066558,True,0.0,0.0,True,True
DIA,103610,0.28930544603858066,0.28322003962025405,0.2961825104272871,True,0.0,0.0,True,True,103610,0.024289532381848427,0.018011967192018766,0.030903403991734756,True,5.329070518200751e-15,6.7670736739057165e-15,True,True,103610,0.06713735912582576,0.06091885545201102,0.07315393243718307,True,0.0,0.0,True,True
EDV,93017,0.21142658380882545,0.20531128008354538,0.2183672845085391,True,0.0,0.0,True,True,93017,0.026485652783552145,0.02078928722533792,0.032899856765018325,True,6.661338147750939e-16,9.032322912204663e-16,True,True,93017,0.050608859731733236,0.04498695364921036,0.05644195163880232,True,0.0,0.0,True,True
EEM,105174,0.23777799273331002,0.2311518963557434,0.24483745600429815,True,0.0,0.0,True,True,105174,0.02661085329876758,0.02056676720661298,0.03242853383088595,True,0.0,0.0,True,True,105174,0.06175674177902941,0.05599080209891471,0.06764935902921537,True,0.0,0.0,True,True
EFA,105174,0.24837368899082032,0.24121027226261804,0.2553035438311338,True,0.0,0.0,True,True,105174,0.03360160767289215,0.027663623632322665,0.04000198146632193,True,0.0,0.0,True,True,105174,0.05975573843331437,0.05392392501877069,0.06618596024319942,True,0.0,0.0,True,True
EMB,105132,0.21555085732643858,0.20861053242008165,0.22196061080417773,True,0.0,0.0,True,True,105132,0.05751819286560021,0.05040656392643819,0.06360230126291086,True,0.0,0.0,True,True,105132,0.0765043886199887,0.0697950274979441,0.08257471457184963,True,0.0,0.0,True,True
EWG,105170,0.22862231765535693,0.22184548038818055,0.23522275042508012,True,0.0,0.0,True,True,105170,0.030727414229127354,0.024988763709588198,0.03607484946567003,True,0.0,0.0,True,True,105170,0.04944704582110231,0.04371802021587256,0.0547967197009308,True,0.0,0.0,True,True
EWJ,105173,0.22809059420411648,0.2216854981471658,0.2345636710752636,True,0.0,0.0,True,True,105173,0.028822473484106433,0.02323293124635803,0.03449088907869983,True,0.0,0.0,True,True,105173,0.04383501862933009,0.03822773510064962,0.04973095444041508,True,0.0,0.0,True,True
EWT,105174,0.2048942207607878,0.1982982202501908,0.21139329217953218,True,0.0,0.0,True,True,105174,0.02207098761728306,0.016048491814115714,0.027909193833615398,True,8.1556983388964e-13,9.73814727032406e-13,True,True,105174,0.04120498220159537,0.03523365609272506,0.04739759561904615,True,0.0,0.0,True,True
EWY,105174,0.19803763495487883,0.19128825904869376,0.2049645087732106,True,0.0,0.0,True,True,105174,0.018120701668630952,0.012194188105659799,0.02409788207389431,True,4.1763135172345756e-09,4.576781936695425e-09,True,True,105174,0.05218770026550453,0.04585936801325717,0.05823723846084316,True,0.0,0.0,True,True
EWZ,105174,0.27767143023205154,0.27138339551476237,0.2843713836886022,True,0.0,0.0,True,True,105174,0.02692444888307099,0.02124017987274184,0.03335023686894909,True,0.0,0.0,True,True,105174,0.06515680071233299,0.05966031561489467,0.07067443991936717,True,0.0,0.0,True,True
EZU,104871,0.23639624941098158,0.23035418806693728,0.24387744124812674,True,0.0,0.0,True,True,104871,0.03174802013301427,0.025714184823053533,0.03779818709476454,True,0.0,0.0,True,True,104871,0.055581675253343545,0.049641670133756276,0.06164859558258859,True,0.0,0.0,True,True
FXA,70191,0.13746620753368183,0.12899424058029457,0.14517800223036836,True,0.0,0.0,True,True,70191,0.0049001034475263045,-0.00259587480508121,0.011225695241371965,False,0.1942194073787189,0.1942194073787189,False,False,70191,0.025071386702973115,0.018600850706916576,0.031343568998064,True,3.06872305344541e-11,3.107567649058643e-11,True,True
FXE,99639,0.1982977527692626,0.1915852618363964,0.20547673085684917,True,0.0,0.0,True,True,99639,0.016079348332083507,0.010030992201980702,0.021734947606886136,True,3.858394026501344e-07,4.115620294934767e-07,True,True,99639,0.04084296331662157,0.03497267359577878,0.04643827941013783,True,0.0,0.0,True,True
FXI,105174,0.2103262288806234,0.20316532762812622,0.21672573366556636,True,0.0,0.0,True,True,105174,0.018596385471759798,0.012222991153589215,0.02487845904801488,True,1.6258727697504582e-09,1.8065252997227312e-09,True,True,105174,0.04780613113291091,0.041993034977592165,0.05393162613099853,True,0.0,0.0,True,True
FXY,95168,0.17035666461858479,0.16397180572690573,0.17683055087860874,True,0.0,0.0,True,True,95168,0.012733037312886596,0.0069530109125008795,0.01815798588015681,True,8.559756922776884e-05,8.893253945742217e-05,True,True,95168,0.03547062101354881,0.02996482931592977,0.04098970616608815,True,0.0,0.0,True,True
GDX,105175,0.3587935713487409,0.3537948566840228,0.36441712633325885,True,0.0,0.0,True,True,105175,0.036614937964582546,0.030862236445767365,0.04282226806357636,True,0.0,0.0,True,True,105175,0.09367315715055238,0.08873289904409724,0.09900146915335951,True,0.0,0.0,True,True
GLD,105175,0.309910892506337,0.3041625475088923,0.31609119703171157,True,0.0,0.0,True,True,105175,0.03186228730060301,0.026466527636915285,0.0369881578165892,True,0.0,0.0,True,True,105175,0.06620441050059105,0.06111497752639131,0.0717279786992699,True,0.0,0.0,True,True
HYG,105175,0.3309468040984942,0.32529127147899234,0.33681198865301615,True,0.0,0.0,True,True,105175,0.0593577721820715,0.05344820945945988,0.06603573073726442,True,0.0,0.0,True,True,105175,0.09181722580846195,0.08608147714306376,0.09738611383813213,True,0.0,0.0,True,True
IBB,105160,0.3794943200783331,0.3738353495129871,0.38541386324085897,True,0.0,0.0,True,True,105160,0.03431902019335468,0.028469714566797668,0.039677779565459016,True,0.0,0.0,True,True,105160,0.09362361443058914,0.08816934104148029,0.09880491515811261,True,0.0,0.0,True,True
IBIT,12376,0.27106039183706815,0.25279286229121095,0.2894066919733997,True,0.0,0.0,True,True,12376,0.030654984596726633,0.013029545056330987,0.04908023154542607,True,0.0006478527175617366,0.0006644643257043452,True,True,12376,0.06372694016021514,0.047108296388347175,0.08193674962346637,True,1.2845280394913061e-12,1.317464655888519e-12,True,True
IEF,54148,0.3092667663499296,0.3014941251556198,0.31734670321801545,True,0.0,0.0,True,True,54148,0.027517655347869478,0.01977267284751815,0.035474401445848104,True,1.510143121663532e-10,1.7258778533297507e-10,True,True,54148,0.0647856694915247,0.057741467952495934,0.07212352237521512,True,0.0,0.0,True,True
