symbol,industry,category,subcategory,long_name,status,detail,fetched_at
PEP,"Consumer, Non-cyclical",Beverages,Beverages-Non-alcoholic,PEPSICO INC,ok,,2026-09-25T12:49:53.596914Z
PFE,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,PFIZER INC,ok,,2026-09-25T12:49:53.616573Z
PG,"Consumer, Non-cyclical",Cosmetics/Personal Care,Cosmetics&Toiletries,PROCTER & GAMBLE CO/THE,ok,,2026-09-25T12:49:53.636259Z
PGNY,"Consumer, Non-cyclical",Commercial Services,Commercial Services,PROGYNY INC,ok,,2026-09-25T12:49:53.653362Z
PGR,Financial,Insurance,Property/Casualty Ins,PROGRESSIVE CORP,ok,,2026-09-25T12:49:53.670470Z
PLD,Financial,REITS,REITS-Warehouse/Industr,PROLOGIS INC,ok,,2026-09-25T12:49:53.688449Z
PM,"Consumer, Non-cyclical",Agriculture,Tobacco,PHILIP MORRIS INTERNATIONAL,ok,,2026-09-25T12:49:53.702300Z
PURR,Financial,Diversified Finan Serv,Finance-Other Services,HYPERLIQUID STRATEGIES,ok,,2026-09-25T12:49:53.724333Z
QCOM,Technology,Semiconductors,Semicon Compo-Intg Circu,QUALCOMM INC,ok,,2026-09-25T12:49:53.739134Z
R,Industrial,Transportation,Transport-Services,RYDER SYSTEM INC,ok,,2026-09-25T12:49:53.761119Z
RCL,"Consumer, Cyclical",Leisure Time,Cruise Lines,ROYAL CARIBBEAN CRUISES LTD,ok,,2026-09-25T12:49:53.779961Z
REGN,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,REGENERON PHARMACEUTICALS,ok,,2026-09-25T12:49:53.796244Z
RGR,Industrial,Miscellaneous Manufactur,Firearms&Ammunition,STURM RUGER & CO INC,ok,,2026-09-25T12:49:53.816161Z
RIOT,Financial,Investment Companies,Investment Companies,RIOT PLATFORMS INC,ok,,2026-09-25T12:49:53.835417Z
RIVN,"Consumer, Cyclical",Auto Manufacturers,Auto-Cars/Light Trucks,RIVIAN AUTOMOTIVE INC-A,ok,,2026-09-25T12:49:53.849577Z
RJF,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,RAYMOND JAMES FINANCIAL INC,ok,,2026-09-25T12:49:53.865830Z
RTX,Industrial,Aerospace/Defense,Aerospace/Defense,RTX CORP,ok,,2026-09-25T12:49:53.886175Z
RVMD,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,REVOLUTION MEDICINES INC,ok,,2026-09-25T12:49:53.944405Z
SHW,Basic Materials,Chemicals,Coatings/Paint,SHERWIN-WILLIAMS CO/THE,ok,,2026-09-25T12:49:54.003443Z
SLB,Energy,Oil&Gas Services,Oil-Field Services,SLB LTD,ok,,2026-09-25T12:49:54.024076Z
SLM,Financial,Diversified Finan Serv,Finance-Consumer Loans,SLM CORP,ok,,2026-09-25T12:49:54.055283Z
SO,Utilities,Electric,Electric-Integrated,SOUTHERN CO/THE,ok,,2026-09-25T12:49:54.073866Z
SPG,Financial,REITS,REITS-Regional Malls,SIMON PROPERTY GROUP INC,ok,,2026-09-25T12:49:54.094304Z
SPNT,Financial,Insurance,Reinsurance,SIRIUSPOINT LTD,ok,,2026-09-25T12:49:54.113863Z
SSP,Communications,Media,Multimedia,EW SCRIPPS CO/THE-A,ok,,2026-09-25T12:49:54.132466Z
T,Communications,Telecommunications,Telephone-Integrated,AT&T INC,ok,,2026-09-25T12:49:54.152762Z
TDOC,"Consumer, Non-cyclical",Healthcare-Services,Medical-Outptnt/Home Med,TELADOC HEALTH INC,ok,,2026-09-25T12:49:54.173468Z
THC,"Consumer, Non-cyclical",Healthcare-Services,Medical-Hospitals,TENET HEALTHCARE CORP,ok,,2026-09-25T12:49:54.193204Z
THRM,"Consumer, Cyclical",Auto Parts&Equipment,Auto/Trk Prts&Equip-Orig,GENTHERM INC,ok,,2026-09-25T12:49:54.211516Z
TMUS,Communications,Telecommunications,Cellular Telecom,T-MOBILE US INC,ok,,2026-09-25T12:49:54.232076Z
TOL,"Consumer, Cyclical",Home Builders,Bldg-Residential/Commer,TOLL BROTHERS INC,ok,,2026-09-25T12:49:54.251926Z
TRV,Financial,Insurance,Property/Casualty Ins,TRAVELERS COS INC/THE,ok,,2026-09-25T12:49:54.270228Z
TSLA,"Consumer, Cyclical",Auto Manufacturers,Auto-Cars/Light Trucks,TESLA INC,ok,,2026-09-25T12:49:54.292107Z
TSM,Technology,Semiconductors,Semicon Compo-Intg Circu,TAIWAN SEMICONDUCTOR-SP ADR,ok,,2026-09-25T12:49:54.313684Z
TXT,Industrial,Miscellaneous Manufactur,Diversified Manufact Op,TEXTRON INC,ok,,2026-09-25T12:49:54.331516Z
UBER,Communications,Internet,E-Commerce/Services,UBER TECHNOLOGIES INC,ok,,2026-09-25T12:49:54.354271Z
UNFI,"Consumer, Non-cyclical",Food,Food-Wholesale/Distrib,UNITED NATURAL FOODS INC,ok,,2026-09-25T12:49:54.373246Z
UNH,"Consumer, Non-cyclical",Healthcare-Services,Medical-HMO,UNITEDHEALTH GROUP INC,ok,,2026-09-25T12:49:54.392011Z
UNP,Industrial,Transportation,Transport-Rail,UNION PACIFIC CORP,ok,,2026-09-25T12:49:54.409238Z
UPB,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,UPSTREAM BIO INC,ok,,2026-09-25T12:49:54.461189Z
UPS,Industrial,Transportation,Transport-Services,UNITED PARCEL SERVICE-CL B,ok,,2026-09-25T12:49:54.478488Z
USB,Financial,Banks,Super-Regional Banks-US,US BANCORP,ok,,2026-09-25T12:49:54.500501Z
V,Financial,Diversified Finan Serv,Finance-Credit Card,VISA INC-CLASS A SHARES,ok,,2026-09-25T12:49:54.519245Z
VNDA,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,VANDA PHARMACEUTICALS INC,ok,,2026-09-25T12:49:54.539931Z
VRTX,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,VERTEX PHARMACEUTICALS INC,ok,,2026-09-25T12:49:54.557587Z
VST,Utilities,Electric,Independ Power Producer,VISTRA CORP,ok,,2026-09-25T12:49:54.598481Z
VZ,Communications,Telecommunications,Telephone-Integrated,VERIZON COMMUNICATIONS INC,ok,,2026-09-25T12:49:54.618512Z
WCC,"Consumer, Cyclical",Distribution/Wholesale,Distribution/Wholesale,WESCO INTERNATIONAL INC,ok,,2026-09-25T12:49:54.635275Z
WHR,"Consumer, Cyclical",Home Furnishings,Appliances,WHIRLPOOL CORP,ok,,2026-09-25T12:49:54.657634Z
WMB,Energy,Pipelines,Pipelines,WILLIAMS COS INC,ok,,2026-09-25T12:49:54.676399Z
WMT,"Consumer, Cyclical",Retail,Retail-Discount,WALMART INC,ok,,2026-09-25T12:49:54.695855Z
WSHP,Communications,Internet,E-Commerce/Products,WESHOP HOLDINGS LTD-CL A,ok,,2026-09-25T12:49:54.713017Z
WSM,"Consumer, Cyclical",Retail,Retail-Home Furnishings,WILLIAMS-SONOMA INC,ok,,2026-09-25T12:49:54.733102Z
WTRG,Utilities,Water,Water,ESSENTIAL UTILITIES INC,ok,,2026-09-25T12:49:54.751491Z
XOM,Energy,Oil&Gas,Oil Comp-Integrated,EXXONMOBIL HOLDINGS CORP,ok,,2026-09-25T12:49:54.769002Z
