iShares Russell 3000 ETF
Fund Holdings as of,"Sep 14, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PANW","PALO ALTO NETWORKS","Information Technology","Equity","83,059,178.86","0.41","83,059,178.86","222,119.00","373.94","United States","NASDAQ","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP","Financials","Equity","78,508,629.70","0.39","78,508,629.70","79,426.00","988.45","United States","NYSE","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","74,866,272.24","0.37","74,866,272.24","843,944.00","88.71","United States","NYSE","USD","1.00","USD","-"
"RTX","RTX","Industrials","Equity","72,571,154.08","0.36","72,571,154.08","371,512.00","195.34","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE","Information Technology","Equity","68,385,909.69","0.34","68,385,909.69","472,311.00","144.79","United States","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","66,006,466.50","0.33","66,006,466.50","250,575.00","263.42","United States","NASDAQ","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS CLASS A","Information Technology","Equity","65,143,533.42","0.32","65,143,533.42","276,759.00","235.38","United States","NASDAQ","USD","1.00","USD","-"
"GEV","GE VERNOVA","Industrials","Equity","64,840,710.24","0.32","64,840,710.24","74,124.00","874.76","United States","NYSE","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES","Information Technology","Equity","64,602,238.77","0.32","64,602,238.77","259,353.00","249.09","United States","NYSE","USD","1.00","USD","-"
"C","CITIGROUP","Financials","Equity","63,945,906.42","0.32","63,945,906.42","469,569.00","136.18","United States","NYSE","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","63,803,059.32","0.32","63,803,059.32","308,854.00","206.58","United States","NYSE","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","62,897,277.24","0.31","62,897,277.24","102,502.00","613.62","United States","NYSE","USD","1.00","USD","-"
"SNDK","SANDISK","Information Technology","Equity","62,239,454.97","0.31","62,239,454.97","40,103.00","1,551.99","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA","Information Technology","Equity","60,946,123.24","0.30","60,946,123.24","360,436.00","169.09","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","59,206,355.05","0.29","59,206,355.05","1,154,345.00","51.29","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","58,830,994.39","0.29","58,830,994.39","126,679.00","464.41","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE","Information Technology","Equity","56,870,169.16","0.28","56,870,169.16","219,212.00","259.43","United States","NYSE","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","56,688,611.00","0.28","56,688,611.00","148,594.00","381.50","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS","Information Technology","Equity","54,081,579.79","0.27","54,081,579.79","287,959.00","187.81","United States","NYSE","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","53,170,416.45","0.26","53,170,416.45","676,899.00","78.55","United States","NYSE","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","53,149,809.86","0.26","53,149,809.86","489,454.00","108.59","United States","NYSE","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY","Information Technology","Equity","52,651,155.48","0.26","52,651,155.48","240,614.00","218.82","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM","Information Technology","Equity","52,452,654.15","0.26","52,452,654.15","291,161.00","180.15","United States","NASDAQ","USD","1.00","USD","-"
"PEP","PEPSICO","Consumer Staples","Equity","51,326,420.06","0.25","51,326,420.06","376,459.00","136.34","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","50,446,925.82","0.25","50,446,925.82","195,918.00","257.49","United States","NYSE","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES","Health Care","Equity","50,200,914.39","0.25","50,200,914.39","342,879.00","146.41","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T","Communication","Equity","49,553,075.22","0.25","49,553,075.22","1,869,222.00","26.51","United States","NYSE","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","49,239,907.60","0.24","49,239,907.60","477,640.00","103.09","United States","NYSE","USD","1.00","USD","-"
"ADI","ANALOG DEVICES","Information Technology","Equity","48,610,981.98","0.24","48,610,981.98","134,649.00","361.02","United States","NASDAQ","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB","Financials","Equity","48,391,229.88","0.24","48,391,229.88","450,948.00","107.31","United States","NYSE","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","48,018,458.88","0.24","48,018,458.88","146,496.00","327.78","United States","NYSE","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY","Utilities","Equity","47,017,247.40","0.23","47,017,247.40","575,980.00","81.63","United States","NYSE","USD","1.00","USD","-"
"UNP","UNION PACIFIC","Industrials","Equity","46,680,139.52","0.23","46,680,139.52","163,744.00","285.08","United States","NYSE","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","46,434,002.94","0.23","46,434,002.94","68,139.00","681.46","United States","NYSE","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","45,997,245.19","0.23","45,997,245.19","336,557.00","136.67","United States","NYSE","USD","1.00","USD","-"
"WELL","WELLTOWER","Real Estate","Equity","45,700,460.46","0.23","45,700,460.46","195,126.00","234.21","United States","NYSE","USD","1.00","USD","-"
"BLK","BLACKROCK","Financials","Equity","44,787,168.00","0.22","44,787,168.00","42,030.00","1,065.60","United States","NYSE","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","44,374,625.40","0.22","44,374,625.40","83,055.00","534.28","United States","NYSE","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","44,014,557.48","0.22","44,014,557.48","209,324.00","210.27","United States","NYSE","USD","1.00","USD","-"
"PFE","PFIZER","Health Care","Equity","43,509,755.52","0.22","43,509,755.52","1,569,616.00","27.72","United States","NYSE","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","42,156,187.84","0.21","42,156,187.84","107,224.00","393.16","United States","NYSE","USD","1.00","USD","-"
"NOW","SERVICENOW","Information Technology","Equity","40,354,232.10","0.20","40,354,232.10","283,486.00","142.35","United States","NYSE","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","39,816,851.34","0.20","39,816,851.34","93,261.00","426.94","United States","NASDAQ","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES","Industrials","Equity","39,295,444.68","0.19","39,295,444.68","541,036.00","72.63","United States","NYSE","USD","1.00","USD","-"
"TJX","TJX","Consumer Discretionary","Equity","38,295,794.41","0.19","38,295,794.41","303,959.00","125.99","United States","NYSE","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS","Consumer Discretionary","Equity","37,469,664.75","0.19","37,469,664.75","213,685.00","175.35","United States","NASDAQ","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL","Health Care","Equity","36,826,473.60","0.18","36,826,473.60","97,440.00","377.94","United States","NASDAQ","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS","Health Care","Equity","36,370,375.59","0.18","36,370,375.59","70,009.00","519.51","United States","NASDAQ","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","36,165,989.20","0.18","36,165,989.20","564,212.00","64.10","United States","NYSE","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","36,089,662.15","0.18","36,089,662.15","293,245.00","123.07","United States","NYSE","USD","1.00","USD","-"
"PGR","PROGRESSIVE","Financials","Equity","35,683,457.98","0.18","35,683,457.98","161,449.00","221.02","United States","NYSE","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","35,596,289.72","0.18","35,596,289.72","172,229.00","206.68","United States","NYSE","USD","1.00","USD","-"
"DHR","DANAHER","Health Care","Equity","35,426,881.50","0.18","35,426,881.50","174,302.00","203.25","United States","NYSE","USD","1.00","USD","-"
"PLD","PROLOGIS REIT","Real Estate","Equity","35,287,428.99","0.17","35,287,428.99","261,021.00","135.19","United States","NYSE","USD","1.00","USD","-"
"SPGI","S&P GLOBAL","Financials","Equity","34,049,066.08","0.17","34,049,066.08","81,352.00","418.54","United States","NYSE","USD","1.00","USD","-"
"CVS","CVS HEALTH","Health Care","Equity","33,830,433.00","0.17","33,830,433.00","354,060.00","95.55","United States","NYSE","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","33,169,931.20","0.16","33,169,931.20","353,624.00","93.80","United States","NYSE","USD","1.00","USD","-"
"CB","CHUBB","Financials","Equity","33,044,930.25","0.16","33,044,930.25","96,665.00","341.85","United States","NYSE","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","33,004,725.00","0.16","33,004,725.00","169,255.00","195.00","United States","NYSE","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","32,425,524.20","0.16","32,425,524.20","459,220.00","70.61","United States","NYSE","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN","Industrials","Equity","32,409,665.19","0.16","32,409,665.19","34,893.00","928.83","United States","NYSE","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM","Energy","Equity","32,039,899.65","0.16","32,039,899.65","80,817.00","396.45","United States","NYSE","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","31,231,223.08","0.15","31,231,223.08","315,244.00","99.07","United States","NASDAQ","USD","1.00","USD","-"
"GLW","CORNING","Information Technology","Equity","31,191,643.20","0.15","31,191,643.20","217,212.00","143.60","United States","NYSE","USD","1.00","USD","-"
