iShares Core S&P 500 ETF
Fund Holdings as of,"Sep 23, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"1,139,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PM","PHILIP MORRIS INTERNATIONAL","Consumer Staples","Equity","3,947,435,896.04","0.45","3,947,435,896.04","20,684,531.00","190.84","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX","Communication","Equity","3,943,302,078.08","0.45","3,943,302,078.08","55,259,278.00","71.36","United States","NASDAQ","USD","1.00","USD","-"
"HD","HOME DEPOT","Consumer Discretionary","Equity","3,926,376,775.28","0.44","3,926,376,775.28","13,232,599.00","296.72","United States","NYSE","USD","1.00","USD","-"
"GS","GOLDMAN SACHS GROUP","Financials","Equity","3,618,334,748.16","0.41","3,618,334,748.16","3,864,256.00","936.36","United States","NYSE","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS CLASS A","Information Technology","Equity","3,547,232,899.67","0.40","3,547,232,899.67","13,513,783.00","262.49","United States","NASDAQ","USD","1.00","USD","-"
"SNDK","SANDISK","Information Technology","Equity","3,520,200,209.96","0.40","3,520,200,209.96","1,937,828.00","1,816.57","United States","NASDAQ","USD","1.00","USD","-"
"RTX","RTX","Industrials","Equity","3,437,454,412.71","0.39","3,437,454,412.71","17,885,709.00","192.19","United States","NYSE","USD","1.00","USD","-"
"GEV","GE VERNOVA","Industrials","Equity","3,363,907,014.88","0.38","3,363,907,014.88","3,534,184.00","951.82","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE","Information Technology","Equity","3,315,616,739.76","0.38","3,315,616,739.76","22,935,921.00","144.56","United States","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","3,303,960,839.80","0.37","3,303,960,839.80","12,119,290.00","272.62","United States","NASDAQ","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","3,286,738,809.90","0.37","3,286,738,809.90","40,131,121.00","81.90","United States","NYSE","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","3,264,364,306.50","0.37","3,264,364,306.50","4,906,605.00","665.30","United States","NYSE","USD","1.00","USD","-"
"KLAC","KLA","Information Technology","Equity","3,257,251,563.48","0.37","3,257,251,563.48","17,338,718.00","187.86","United States","NASDAQ","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","3,142,609,491.96","0.36","3,142,609,491.96","15,840,564.00","198.39","United States","NYSE","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY","Information Technology","Equity","3,032,292,247.90","0.34","3,032,292,247.90","11,622,431.00","260.90","United States","NASDAQ","USD","1.00","USD","-"
"C","CITIGROUP","Financials","Equity","2,936,860,879.43","0.33","2,936,860,879.43","22,260,751.00","131.93","United States","NYSE","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","2,912,661,032.68","0.33","2,912,661,032.68","7,172,452.00","406.09","United States","NASDAQ","USD","1.00","USD","-"
"IBM","INTERNATIONAL BUSINESS MACHINES","Information Technology","Equity","2,910,158,478.04","0.33","2,910,158,478.04","12,502,829.00","232.76","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","2,873,481,098.48","0.33","2,873,481,098.48","6,117,434.00","469.72","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS","Information Technology","Equity","2,826,667,094.88","0.32","2,826,667,094.88","13,892,304.00","203.47","United States","NYSE","USD","1.00","USD","-"
"QCOM","QUALCOMM","Information Technology","Equity","2,795,675,420.72","0.32","2,795,675,420.72","14,173,978.00","197.24","United States","NASDAQ","USD","1.00","USD","-"
"STX","SEAGATE TECHNOLOGY HOLDINGS PLC","Information Technology","Equity","2,778,492,320.52","0.31","2,778,492,320.52","3,007,482.00","923.86","United States","NASDAQ","USD","1.00","USD","-"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","2,689,743,611.37","0.30","2,689,743,611.37","32,725,923.00","82.19","United States","NYSE","USD","1.00","USD","-"
"CRM","SALESFORCE","Information Technology","Equity","2,582,262,959.50","0.29","2,582,262,959.50","10,869,025.00","237.58","United States","NYSE","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","2,565,014,689.32","0.29","2,565,014,689.32","55,137,891.00","46.52","United States","NYSE","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES","Health Care","Equity","2,490,861,163.76","0.28","2,490,861,163.76","16,455,448.00","151.37","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES","Information Technology","Equity","2,490,046,977.39","0.28","2,490,046,977.39","6,463,793.00","385.23","United States","NASDAQ","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","2,376,505,861.72","0.27","2,376,505,861.72","22,963,628.00","103.49","United States","NYSE","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","2,370,753,620.48","0.27","2,370,753,620.48","22,914,688.00","103.46","United States","NYSE","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","2,363,918,540.44","0.27","2,363,918,540.44","3,331,903.00","709.48","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO","Consumer Staples","Equity","2,357,969,085.92","0.27","2,357,969,085.92","18,113,144.00","130.18","United States","NASDAQ","USD","1.00","USD","-"
"T","AT&T","Communication","Equity","2,300,724,214.80","0.26","2,300,724,214.80","90,937,716.00","25.30","United States","NYSE","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","2,266,460,753.48","0.26","2,266,460,753.48","4,784,692.00","473.69","United States","NASDAQ","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","2,261,496,719.16","0.26","2,261,496,719.16","5,154,291.00","438.76","United States","NYSE","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","2,238,030,708.48","0.25","2,238,030,708.48","9,390,864.00","238.32","United States","NYSE","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","2,205,654,041.60","0.25","2,205,654,041.60","4,011,520.00","549.83","United States","NYSE","USD","1.00","USD","-"
"WELL","WELLTOWER","Real Estate","Equity","2,198,721,031.81","0.25","2,198,721,031.81","9,565,063.00","229.87","United States","NYSE","USD","1.00","USD","-"
"UNP","UNION PACIFIC","Industrials","Equity","2,172,168,859.06","0.25","2,172,168,859.06","7,883,602.00","275.53","United States","NYSE","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB","Financials","Equity","2,146,469,421.50","0.24","2,146,469,421.50","21,572,557.00","99.50","United States","NYSE","USD","1.00","USD","-"
"NEE","NEXTERA ENERGY","Utilities","Equity","2,132,112,311.60","0.24","2,132,112,311.60","27,682,580.00","77.02","United States","NYSE","USD","1.00","USD","-"
"PFE","PFIZER","Health Care","Equity","2,131,524,407.06","0.24","2,131,524,407.06","75,639,617.00","28.18","United States","NYSE","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","2,110,717,611.72","0.24","2,110,717,611.72","6,990,057.00","301.96","United States","NYSE","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","2,097,019,786.10","0.24","2,097,019,786.10","10,488,770.00","199.93","United States","NYSE","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","2,042,072,391.29","0.23","2,042,072,391.29","15,942,481.00","128.09","United States","NYSE","USD","1.00","USD","-"
"BLK","BLACKROCK","Financials","Equity","2,028,234,963.36","0.23","2,028,234,963.36","1,911,824.00","1,060.89","United States","NYSE","USD","1.00","USD","-"
"NOW","SERVICENOW","Information Technology","Equity","1,931,502,444.68","0.22","1,931,502,444.68","13,720,006.00","140.78","United States","NYSE","USD","1.00","USD","-"
"TJX","TJX","Consumer Discretionary","Equity","1,929,121,243.10","0.22","1,929,121,243.10","14,660,090.00","131.59","United States","NYSE","USD","1.00","USD","-"
"UBER","UBER TECHNOLOGIES","Industrials","Equity","1,881,734,271.30","0.21","1,881,734,271.30","27,106,515.00","69.42","United States","NYSE","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL","Health Care","Equity","1,867,416,804.40","0.21","1,867,416,804.40","4,688,468.00","398.30","United States","NASDAQ","USD","1.00","USD","-"
"DHR","DANAHER","Health Care","Equity","1,839,670,728.72","0.21","1,839,670,728.72","8,303,262.00","221.56","United States","NYSE","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS","Health Care","Equity","1,736,814,923.36","0.20","1,736,814,923.36","3,363,704.00","516.34","United States","NASDAQ","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","1,727,668,220.25","0.20","1,727,668,220.25","13,983,555.00","123.55","United States","NYSE","USD","1.00","USD","-"
"PLD","PROLOGIS REIT","Real Estate","Equity","1,689,476,861.96","0.19","1,689,476,861.96","12,611,801.00","133.96","United States","NYSE","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,657,684,958.45","0.19","1,657,684,958.45","27,108,503.00","61.15","United States","NYSE","USD","1.00","USD","-"
"SPGI","S&P GLOBAL","Financials","Equity","1,629,151,594.50","0.18","1,629,151,594.50","4,007,753.00","406.50","United States","NYSE","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN","Industrials","Equity","1,625,030,514.42","0.18","1,625,030,514.42","1,673,202.00","971.21","United States","NYSE","USD","1.00","USD","-"
"GLW","CORNING","Information Technology","Equity","1,624,598,343.28","0.18","1,624,598,343.28","10,516,561.00","154.48","United States","NYSE","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","1,596,600,116.50","0.18","1,596,600,116.50","8,141,765.00","196.10","United States","NYSE","USD","1.00","USD","-"
"PGR","PROGRESSIVE","Financials","Equity","1,567,209,295.26","0.18","1,567,209,295.26","7,715,302.00","203.13","United States","NYSE","USD","1.00","USD","-"
"CB","CHUBB","Financials","Equity","1,561,905,631.64","0.18","1,561,905,631.64","4,659,484.00","335.21","United States","NYSE","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS","Consumer Discretionary","Equity","1,554,605,802.60","0.18","1,554,605,802.60","9,971,814.00","155.90","United States","NASDAQ","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","1,527,863,877.40","0.17","1,527,863,877.40","22,159,012.00","68.95","United States","NYSE","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","1,516,965,175.60","0.17","1,516,965,175.60","16,987,292.00","89.30","United States","NYSE","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","1,490,403,908.64","0.17","1,490,403,908.64","8,121,207.00","183.52","United States","NYSE","USD","1.00","USD","-"
"FTNT","FORTINET","Information Technology","Equity","1,461,894,798.60","0.17","1,461,894,798.60","8,178,890.00","178.74","United States","NASDAQ","USD","1.00","USD","-"
"CVS","CVS HEALTH","Health Care","Equity","1,457,279,112.96","0.17","1,457,279,112.96","16,972,736.00","85.86","United States","NYSE","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM","Energy","Equity","1,447,474,006.14","0.16","1,447,474,006.14","3,726,953.00","388.38","United States","NYSE","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","1,436,127,109.92","0.16","1,436,127,109.92","3,821,113.00","375.84","United States","NYSE","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,424,336,301.44","0.16","1,424,336,301.44","7,443,229.00","191.36","United States","NYSE","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,424,235,869.82","0.16","1,424,235,869.82","15,128,913.00","94.14","United States","NASDAQ","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","1,414,258,150.24","0.16","1,414,258,150.24","2,695,468.00","524.68","United States","NYSE","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","1,390,069,542.40","0.16","1,390,069,542.40","5,271,805.00","263.68","United States","NASDAQ","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","1,383,203,438.62","0.16","1,383,203,438.62","19,057,639.00","72.58","United States","NYSE","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","1,362,634,504.50","0.15","1,362,634,504.50","1,547,569.00","880.50","United States","NYSE","USD","1.00","USD","-"
"EQIX","EQUINIX REIT","Real Estate","Equity","1,358,618,614.60","0.15","1,358,618,614.60","1,309,310.00","1,037.66","United States","NASDAQ","USD","1.00","USD","-"
"PSX","PHILLIPS 66","Energy","Equity","1,358,092,377.60","0.15","1,358,092,377.60","5,295,120.00","256.48","United States","NYSE","USD","1.00","USD","-"
"BNY","BANK OF NEW YORK MELLON CORP","Financials","Equity","1,346,201,944.43","0.15","1,346,201,944.43","9,004,093.00","149.51","United States","NYSE","USD","1.00","USD","-"
"CME","CME GROUP CLASS A","Financials","Equity","1,292,134,927.60","0.15","1,292,134,927.60","4,771,547.00","270.80","United States","NASDAQ","USD","1.00","USD","-"
"HOOD","ROBINHOOD MARKETS CLASS A","Financials","Equity","1,287,381,160.80","0.15","1,287,381,160.80","10,492,104.00","122.70","United States","NASDAQ","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","1,276,410,761.23","0.14","1,276,410,761.23","2,920,247.00","437.09","United States","NYSE","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","1,274,289,245.98","0.14","1,274,289,245.98","15,266,434.00","83.47","United States","NYSE","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","1,271,015,278.54","0.14","1,271,015,278.54","5,108,993.00","248.78","United States","NYSE","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","1,269,602,202.36","0.14","1,269,602,202.36","5,274,844.00","240.69","United States","NASDAQ","USD","1.00","USD","-"
"SYK","STRYKER","Health Care","Equity","1,266,376,497.00","0.14","1,266,376,497.00","4,631,955.00","273.40","United States","NYSE","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","1,266,118,849.80","0.14","1,266,118,849.80","1,994,202.00","634.90","United States","NYSE","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE","Industrials","Equity","1,210,771,936.44","0.14","1,210,771,936.44","5,292,298.00","228.78","United States","NYSE","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","1,209,164,877.92","0.14","1,209,164,877.92","20,676,554.00","58.48","United States","NYSE","USD","1.00","USD","-"
"BX","BLACKSTONE","Financials","Equity","1,188,090,095.23","0.13","1,188,090,095.23","9,961,349.00","119.27","United States","NYSE","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP","Financials","Equity","1,186,044,391.96","0.13","1,186,044,391.96","5,294,132.00","224.03","United States","NYSE","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","1,181,355,579.46","0.13","1,181,355,579.46","10,347,338.00","114.17","United States","NYSE","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","1,172,832,177.70","0.13","1,172,832,177.70","8,038,603.00","145.90","United States","NYSE","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","1,165,552,443.90","0.13","1,165,552,443.90","6,844,113.00","170.30","United States","NYSE","USD","1.00","USD","-"
"ICE","INTERCONTINENTAL EXCHANGE INC","Financials","Equity","1,164,784,829.25","0.13","1,164,784,829.25","7,449,855.00","156.35","United States","NYSE","USD","1.00","USD","-"
